time,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,temperature,humidity,pressure,wind_speed,wind_direction
2025-06-28 10:00:00,270.42,0.07,0.7,87.78,0.31,14.53,39.59,8.03,308.09,55.0,993.0,4.12,130.0
2025-06-27 04:00:00,378.21,0.15,5.62,51.33,2.55,37.46,101.81,28.63,308.09,55.0,993.0,4.12,130.0
2025-06-27 14:00:00,497.77,0.06,6.18,82.8,1.5,15.36,41.0,27.8,308.09,55.0,993.0,4.12,130.0
2025-06-27 16:00:00,546.86,0.0,7.98,67.39,1.44,17.95,50.26,40.82,308.09,55.0,993.0,4.12,130.0
2025-06-27 19:00:00,534.49,0.0,7.18,62.14,0.94,20.14,65.44,41.03,308.09,55.0,993.0,4.12,130.0
2025-06-30 01:00:00,121.73,0.0,2.17,50.5,4.28,18.27,74.05,12.18,308.09,55.0,993.0,4.12,130.0
2025-06-30 15:00:00,146.69,0.0,1.76,60.66,0.52,15.67,60.34,12.04,308.09,55.0,993.0,4.12,130.0
2025-06-27 05:00:00,365.96,0.12,4.57,58.69,2.29,33.52,97.65,26.12,308.09,55.0,993.0,4.12,130.0
2025-06-28 08:00:00,295.43,0.06,0.71,90.86,0.37,17.6,51.9,8.56,308.09,55.0,993.0,4.12,130.0
2025-07-01 19:00:00,136.87,0.0,1.56,69.0,1.23,25.53,94.17,7.31,308.09,55.0,993.0,4.12,130.0
2025-06-28 03:00:00,454.51,0.38,3.9,52.5,0.45,24.21,97.22,30.11,308.09,55.0,993.0,4.12,130.0
2025-06-29 04:00:00,191.41,0.26,1.53,78.3,4.59,18.09,69.87,11.53,308.09,55.0,993.0,4.12,130.0
2025-06-29 20:00:00,131.47,0.0,1.45,67.44,1.79,10.64,51.48,9.94,308.09,55.0,993.0,4.12,130.0
2025-07-01 12:00:00,131.18,0.11,0.85,71.74,0.66,21.49,75.83,4.66,308.09,55.0,993.0,4.12,130.0
2025-06-29 09:00:00,142.75,0.07,0.38,78.13,1.2,13.31,43.69,6.62,308.09,55.0,993.0,4.12,130.0
2025-06-30 10:00:00,131.58,0.08,0.46,71.83,0.9,17.76,58.89,6.08,308.09,55.0,993.0,4.12,130.0
2025-07-01 05:00:00,144.84,0.38,1.68,55.09,2.73,34.26,133.69,7.15,308.09,55.0,993.0,4.12,130.0
2025-07-01 08:00:00,134.97,0.12,0.62,73.64,1.2,26.89,91.69,4.56,308.09,55.0,993.0,4.12,130.0
2025-06-30 22:00:00,157.68,0.0,1.57,76.47,3.9,27.69,103.74,12.81,308.09,55.0,993.0,4.12,130.0
2025-06-27 01:00:00,360.85,0.0,6.75,37.98,2.59,36.23,94.29,34.75,308.09,55.0,993.0,4.12,130.0
2025-06-29 14:00:00,137.25,0.03,1.29,75.6,1.65,18.64,60.59,9.19,308.09,55.0,993.0,4.12,130.0
2025-06-30 18:00:00,153.41,0.0,1.61,64.31,0.83,18.77,73.46,13.72,308.09,55.0,993.0,4.12,130.0
2025-06-26 17:00:00,289.1,0.0,6.97,52.11,2.99,23.85,60.48,35.88,308.09,55.0,993.0,4.12,130.0
2025-06-28 15:00:00,291.38,0.0,3.8,70.78,0.55,17.29,50.73,24.84,308.09,55.0,993.0,4.12,130.0
2025-06-27 20:00:00,518.51,0.0,6.4,60.98,0.76,20.63,69.84,40.22,308.09,55.0,993.0,4.12,130.0
2025-06-27 11:00:00,431.08,0.05,1.89,102.58,1.59,11.91,28.18,11.92,308.09,55.0,993.0,4.12,130.0
2025-07-01 03:00:00,146.5,0.42,2.69,41.0,3.66,32.55,132.58,8.64,308.09,55.0,993.0,4.12,130.0
2025-07-01 01:00:00,144.0,0.0,2.29,52.63,4.57,32.69,129.45,11.34,308.09,55.0,993.0,4.12,130.0
2025-06-27 02:00:00,382.51,0.11,6.96,37.21,2.52,37.59,97.75,32.96,308.09,55.0,993.0,4.12,130.0
2025-06-30 20:00:00,161.42,0.0,1.41,78.11,1.97,23.26,85.0,12.99,308.09,55.0,993.0,4.12,130.0
2025-07-01 22:00:00,142.93,0.0,1.7,76.19,3.36,32.5,116.44,8.52,308.09,55.0,993.0,4.12,130.0
2025-06-28 18:00:00,272.46,0.0,3.25,68.43,0.58,21.46,72.85,27.28,308.09,55.0,993.0,4.12,130.0
2025-06-28 09:00:00,281.49,0.07,0.69,89.27,0.33,15.61,42.86,7.97,308.09,55.0,993.0,4.12,130.0
2025-06-27 12:00:00,433.55,0.06,2.08,103.22,1.52,12.62,31.55,12.57,308.09,55.0,993.0,4.12,130.0
2025-06-27 17:00:00,557.94,0.0,8.18,63.08,1.31,19.13,55.23,43.72,308.09,55.0,993.0,4.12,130.0
2025-06-28 13:00:00,261.11,0.14,1.75,82.9,0.37,14.56,41.33,13.61,308.09,55.0,993.0,4.12,130.0
2025-06-29 19:00:00,139.29,0.0,1.42,70.34,1.6,10.91,49.8,9.68,308.09,55.0,993.0,4.12,130.0
2025-06-29 21:00:00,124.79,0.0,1.56,63.73,2.24,11.39,55.47,10.31,308.09,55.0,993.0,4.12,130.0
2025-06-27 08:00:00,418.47,0.03,2.03,94.18,1.9,14.0,33.74,12.77,308.09,55.0,993.0,4.12,130.0
2025-06-29 23:00:00,120.3,0.0,1.92,56.41,3.64,15.11,66.35,11.49,308.09,55.0,993.0,4.12,130.0
2025-06-26 18:00:00,295.53,0.0,6.91,51.12,3.07,24.99,64.08,35.1,308.09,55.0,993.0,4.12,130.0
2025-06-29 11:00:00,129.75,0.08,0.48,75.76,1.12,15.02,52.66,7.51,308.09,55.0,993.0,4.12,130.0
2025-06-30 06:00:00,138.32,0.17,0.86,71.98,2.72,26.02,88.25,9.74,308.09,55.0,993.0,4.12,130.0
2025-07-01 06:00:00,141.57,0.25,1.21,65.76,2.38,36.98,134.84,6.67,308.09,55.0,993.0,4.12,130.0
2025-06-28 06:00:00,391.8,0.2,1.88,84.31,0.58,33.85,127.91,25.22,308.09,55.0,993.0,4.12,130.0
2025-06-29 02:00:00,222.43,0.15,3.4,58.26,6.29,23.11,90.78,23.65,308.09,55.0,993.0,4.12,130.0
2025-07-01 17:00:00,148.18,0.0,2.22,60.79,0.66,20.75,79.95,8.92,308.09,55.0,993.0,4.12,130.0
2025-06-27 23:00:00,459.64,0.0,3.82,61.04,0.45,21.31,81.69,32.47,308.09,55.0,993.0,4.12,130.0
2025-06-28 01:00:00,475.67,0.0,4.26,52.89,0.44,22.26,79.93,32.34,308.09,55.0,993.0,4.12,130.0
2025-06-29 07:00:00,157.87,0.09,0.49,86.28,2.09,15.1,47.8,7.63,308.09,55.0,993.0,4.12,130.0
2025-06-30 02:00:00,125.37,0.1,2.33,47.82,4.22,19.35,77.36,11.97,308.09,55.0,993.0,4.12,130.0
2025-06-30 07:00:00,137.65,0.11,0.59,75.51,1.92,22.76,75.05,7.53,308.09,55.0,993.0,4.12,130.0
2025-06-26 22:00:00,328.99,0.0,6.94,42.52,3.32,32.04,79.4,35.73,308.09,55.0,993.0,4.12,130.0
2025-06-27 10:00:00,427.94,0.03,1.79,101.4,1.62,11.18,25.49,11.3,308.09,55.0,993.0,4.12,130.0
2025-06-28 22:00:00,224.5,0.0,2.7,66.38,2.55,22.07,79.8,26.6,308.09,55.0,993.0,4.12,130.0
2025-06-30 04:00:00,135.12,0.38,1.74,54.37,3.58,22.0,84.9,10.99,308.09,55.0,993.0,4.12,130.0
2025-06-28 16:00:00,292.71,0.0,3.9,67.87,0.6,18.76,57.19,27.76,308.09,55.0,993.0,4.12,130.0
2025-07-01 15:00:00,151.65,0.0,2.58,60.59,0.58,19.18,71.77,8.39,308.09,55.0,993.0,4.12,130.0
2025-07-01 20:00:00,136.76,0.0,1.48,72.99,1.74,28.2,101.92,7.45,308.09,55.0,993.0,4.12,130.0
2025-06-29 00:00:00,226.14,0.0,3.29,61.53,5.87,22.75,82.47,26.63,308.09,55.0,993.0,4.12,130.0
2025-06-30 09:00:00,133.21,0.09,0.46,73.0,1.08,19.08,63.11,6.26,308.09,55.0,993.0,4.12,130.0
2025-06-28 11:00:00,260.25,0.09,0.76,86.46,0.3,13.98,38.66,8.52,308.09,55.0,993.0,4.12,130.0
2025-06-29 17:00:00,149.83,0.0,1.5,73.01,1.8,13.69,50.7,9.28,308.09,55.0,993.0,4.12,130.0
2025-07-01 10:00:00,132.61,0.1,0.59,74.51,0.87,24.45,83.83,4.43,308.09,55.0,993.0,4.12,130.0
2025-06-30 13:00:00,133.2,0.08,1.04,65.72,0.56,15.04,53.89,7.69,308.09,55.0,993.0,4.12,130.0
2025-07-01 18:00:00,143.76,0.0,1.92,64.26,0.85,23.25,89.0,8.37,308.09,55.0,993.0,4.12,130.0
2025-06-30 19:00:00,157.44,0.0,1.51,71.43,1.3,21.0,78.58,13.31,308.09,55.0,993.0,4.12,130.0
2025-06-30 23:00:00,153.35,0.0,1.8,69.85,4.68,30.05,114.85,13.15,308.09,55.0,993.0,4.12,130.0
2025-07-01 23:00:00,148.06,0.0,1.91,75.16,4.37,33.78,121.01,8.92,308.09,55.0,993.0,4.12,130.0
2025-06-27 21:00:00,501.91,0.0,5.61,60.32,0.61,21.07,74.43,38.92,308.09,55.0,993.0,4.12,130.0
2025-06-28 20:00:00,231.57,0.0,2.41,70.33,0.5,22.16,81.45,24.6,308.09,55.0,993.0,4.12,130.0
2025-06-29 05:00:00,175.68,0.15,0.86,85.24,3.19,16.06,57.26,8.87,308.09,55.0,993.0,4.12,130.0
2025-07-01 13:00:00,136.74,0.1,1.45,68.14,0.59,20.07,72.42,5.57,308.09,55.0,993.0,4.12,130.0
2025-07-01 04:00:00,147.63,0.55,2.28,44.69,3.17,32.73,133.13,7.81,308.09,55.0,993.0,4.12,130.0
2025-07-01 09:00:00,133.11,0.11,0.58,73.56,0.97,25.09,85.53,4.39,308.09,55.0,993.0,4.12,130.0
2025-06-27 00:00:00,350.44,0.0,6.81,39.19,2.84,35.13,89.61,35.94,308.09,55.0,993.0,4.12,130.0
2025-06-30 00:00:00,121.17,0.0,2.07,53.53,4.12,16.96,70.95,12.04,308.09,55.0,993.0,4.12,130.0
2025-06-30 21:00:00,161.38,0.0,1.42,80.05,2.84,25.47,93.55,12.8,308.09,55.0,993.0,4.12,130.0
2025-06-30 05:00:00,137.31,0.26,1.22,63.96,3.16,24.17,87.96,10.43,308.09,55.0,993.0,4.12,130.0
2025-06-28 23:00:00,226.08,0.0,3.06,63.92,4.44,22.27,79.77,27.01,308.09,55.0,993.0,4.12,130.0
2025-06-29 15:00:00,144.69,0.0,1.48,74.72,1.9,17.85,57.44,9.28,308.09,55.0,993.0,4.12,130.0
2025-07-01 02:00:00,143.47,0.08,2.67,44.68,4.13,32.77,131.94,9.72,308.09,55.0,993.0,4.12,130.0
2025-06-28 04:00:00,425.52,0.33,3.07,63.44,0.49,25.89,110.15,26.31,308.09,55.0,993.0,4.12,130.0
2025-07-01 11:00:00,131.65,0.11,0.67,73.79,0.77,23.27,80.52,4.58,308.09,55.0,993.0,4.12,130.0
2025-06-28 19:00:00,245.4,0.0,2.62,70.83,0.47,21.91,78.92,24.3,308.09,55.0,993.0,4.12,130.0
2025-07-01 07:00:00,137.17,0.15,0.8,72.57,1.75,32.08,111.55,5.27,308.09,55.0,993.0,4.12,130.0
2025-07-01 16:00:00,150.92,0.0,2.49,59.48,0.58,19.41,73.78,8.97,308.09,55.0,993.0,4.12,130.0
2025-06-30 11:00:00,129.62,0.09,0.51,70.2,0.76,16.63,55.97,6.18,308.09,55.0,993.0,4.12,130.0
2025-06-27 09:00:00,421.53,0.02,1.83,98.1,1.73,11.95,27.39,11.55,308.09,55.0,993.0,4.12,130.0
2025-06-29 03:00:00,220.46,0.45,2.99,61.86,5.85,22.93,92.55,21.4,308.09,55.0,993.0,4.12,130.0
2025-06-28 14:00:00,278.7,0.07,3.09,76.0,0.46,15.85,45.36,20.07,308.09,55.0,993.0,4.12,130.0
2025-06-27 15:00:00,529.45,0.0,7.42,73.73,1.51,16.78,45.76,35.25,308.09,55.0,993.0,4.12,130.0
2025-06-29 12:00:00,127.21,0.1,0.65,75.86,1.24,16.58,57.57,8.05,308.09,55.0,993.0,4.12,130.0
2025-06-27 22:00:00,473.19,0.0,4.32,61.75,0.53,20.95,78.2,34.43,308.09,55.0,993.0,4.12,130.0
2025-06-26 20:00:00,308.5,0.0,6.96,46.5,2.98,27.62,69.88,33.41,308.09,55.0,993.0,4.12,130.0
2025-06-30 16:00:00,147.91,0.0,1.72,59.33,0.5,16.11,64.05,13.18,308.09,55.0,993.0,4.12,130.0
2025-06-27 06:00:00,372.08,0.1,3.85,66.08,2.26,30.79,90.88,24.19,308.09,55.0,993.0,4.12,130.0
2025-06-30 17:00:00,148.98,0.0,1.64,60.06,0.57,17.02,68.44,13.56,308.09,55.0,993.0,4.12,130.0
2025-06-26 23:00:00,340.5,0.0,6.91,40.8,3.14,33.68,84.16,36.08,308.09,55.0,993.0,4.12,130.0
2025-06-28 17:00:00,287.29,0.0,3.66,67.29,0.63,20.3,65.0,28.47,308.09,55.0,993.0,4.12,130.0
2025-06-29 18:00:00,147.82,0.0,1.47,72.53,1.66,12.06,49.96,9.54,308.09,55.0,993.0,4.12,130.0
2025-06-29 01:00:00,222.9,0.0,3.33,59.57,6.55,23.03,87.05,25.11,308.09,55.0,993.0,4.12,130.0
2025-06-29 08:00:00,151.12,0.08,0.41,81.98,1.51,13.69,43.52,6.88,308.09,55.0,993.0,4.12,130.0
2025-06-28 05:00:00,404.9,0.26,2.4,73.6,0.53,28.89,119.98,25.2,308.09,55.0,993.0,4.12,130.0
2025-06-28 21:00:00,225.27,0.0,2.44,68.83,1.07,22.2,81.51,25.6,308.09,55.0,993.0,4.12,130.0
2025-06-28 02:00:00,464.06,0.16,4.1,50.7,0.43,22.97,87.74,31.34,308.09,55.0,993.0,4.12,130.0
2025-06-29 22:00:00,120.78,0.0,1.73,59.64,2.93,13.04,60.75,10.81,308.09,55.0,993.0,4.12,130.0
2025-07-01 21:00:00,139.16,0.0,1.55,75.49,2.44,30.62,110.23,7.99,308.09,55.0,993.0,4.12,130.0
2025-06-26 21:00:00,318.51,0.0,6.97,44.04,3.14,29.69,74.23,34.5,308.09,55.0,993.0,4.12,130.0
2025-06-30 03:00:00,130.85,0.35,2.17,48.26,3.99,20.48,80.99,11.54,308.09,55.0,993.0,4.12,130.0
